seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_orders,avg_delay_days,avg_delivery_days,total_freight,late_rate_pct
0015a82c2db000af6aaaf3ae2ecb0532,SP,3,2685.0,3.67,0,-16.3,10.3,63.06,0.0
001cca7ae9ae17fb1caed9dfb1094831,ES,194,24347.13,4.08,12,-12.8,13.0,8621.24,6.2
002100f778ceb8431b7a1020ff7ab48f,SP,49,1297.7,3.94,9,-8.0,16.1,795.66,18.4
003554e2dce176b5555353e4f3555ac8,GO,1,120.0,5.0,0,-27.0,4.0,19.38,0.0
004c9cd9d87a3c30c522c48c4fc07416,SP,155,19451.74,4.16,10,-11.7,14.4,3499.33,6.5
00720abe85ba0859807595bbf045a33b,SP,13,1053.4,3.62,2,-7.8,11.4,319.03,15.4
00ab3eff1b5192e5f1a63bcecfee11c8,SP,1,98.0,5.0,0,-10.0,9.0,12.08,0.0
00d8b143d12632bad99c0ad66ad52825,MG,1,86.0,5.0,0,-22.0,7.0,51.1,0.0
00ee68308b45bc5e2660cd833c3f81cc,SP,133,20117.89,4.3,10,-10.8,9.2,3182.14,7.5
00fc707aaaad2d31347cf883cd2dfe10,PR,102,12832.7,4.09,4,-15.5,14.8,2323.12,3.9
010543a62bd80aa422851e79a3bc7540,SP,2,1416.0,4.5,0,-8.5,8.5,31.950000000000003,0.0
010da0602d7774602cd1b3f5fb7b709e,SP,1,849.5,1.0,0,-10.0,26.0,230.25,0.0
011b0eaba87386a2ae96a7d32bb531d1,SP,1,99.98,4.0,0,-30.0,25.0,29.18,0.0
01266d4c46afa519678d16a8b683d325,PR,3,90.25,5.0,0,-9.3,5.3,47.230000000000004,0.0
013900e863eace745d3ec7614cab5b1a,PR,23,1619.7,4.7,0,-15.5,11.7,469.67,0.0
014c0679dd340a0e338872e7ec85666a,MG,14,7058.0,3.86,2,-11.1,19.3,628.31,14.3
014d9a685fd57276679edd00e07089e5,PR,10,758.86,4.0,0,-12.0,8.9,180.05,0.0
0176f73cc1195f367f7b32db1e5b3aa8,SP,36,4712.6,4.08,4,-9.1,12.8,1278.8600000000001,11.1
01bcc9d254a0143f0ce9791b960b2a47,GO,10,1393.21,4.4,0,-18.3,12.4,251.48,0.0
01c97ebb5cdac52891c0ed1c37ba0012,SP,9,577.5,4.22,0,-8.2,13.6,178.5,0.0
01cf7e3d21494c41fb86034f2e714fa1,PR,59,9439.56,4.12,3,-15.2,11.3,1964.45,5.1
01ed254b9ff8407dfb9d99ba1e17d923,SP,5,1465.99,5.0,0,-17.0,6.4,67.72,0.0
01fd077212124329bac32490e8ef80d9,SP,31,1372.0,4.16,1,-11.3,7.8,611.93,3.2
01fdefa7697d26ad920e9e0346d4bd1b,PR,128,14842.53,4.38,7,-13.7,10.2,2735.32,5.5
0241d4d5d36f10f80c644447315af0bd,PR,230,30694.88,4.4,11,-12.9,10.5,6648.41,4.8
0249d282d911d23cb8b869ab49c99f53,SP,11,427.6,4.27,2,-8.4,9.8,142.43,18.2
024b564ae893ce8e9bfa02c10a401ece,SP,2,706.4,4.5,0,-37.0,15.0,212.0,0.0
028872bfa080090a9d0abd4f1af168f8,MG,1,70.5,5.0,0,-15.0,16.0,47.37,0.0
02b72cdeb9cfcc429f1af6f4e3f3b737,SP,4,522.65,4.75,0,-9.0,12.0,225.99,0.0
02c988090b766852e088c69d7fb3b551,SP,12,1564.37,4.58,0,-11.1,9.1,206.57,0.0
02d35243ea2e497335cd0f076b45675d,RN,14,6540.9,2.64,4,-6.1,25.8,675.31,28.6
02dcd3e8e25bee036e32512bcf175493,MG,13,1341.9,4.08,4,-6.3,16.7,281.59,30.8
02ecc2a19303f05e59ce133fd923fff7,SP,21,5361.19,4.62,0,-15.0,10.6,491.13,0.0
02f5837340d7eb4f653d676c7256523a,PR,30,3883.05,4.83,1,-17.3,9.2,580.83,3.3
02f623a8eb246f3c5f7c2f96462654e6,SP,44,6378.0,4.56,3,-10.7,8.1,829.63,6.8
0307f7565ff85b299b6e5ef162b1b1a9,SP,6,4711.9,3.5,0,-16.7,14.7,256.99,0.0
034b9387752bfa309f350a70cd45ffa3,SC,8,96.0,4.5,0,-15.4,8.1,144.26,0.0
038b75b729c8a9a04b0d07cba7eabe86,SP,2,467.0,3.5,1,-1.5,22.5,90.85,50.0
039b29ff3b3473435d0cd59040575de9,SP,9,114.9,4.44,0,-10.8,8.6,100.65,0.0
039e6ad9dae79614493083e241147386,SP,5,12925.0,4.0,1,-12.2,14.0,348.41999999999996,20.0
03a2a6dcbe45d639c4dc2a0d24769c40,SP,9,1078.41,4.11,1,-12.6,9.9,172.25,11.1
03bd479e1d9484cdb14104d3023f7321,MG,3,517.7,4.33,0,-5.7,20.3,78.71,0.0
0417b067eeab773d2f7061a726dc477f,SC,13,1859.18,3.92,3,-3.9,17.3,642.57,23.1
042573af89b6d931f672efaf789d8358,SP,3,413.48,3.67,1,-1.0,19.7,65.09,33.3
04308b1ee57b6625f47df1d56f00eedf,SC,92,58991.8,3.95,7,-11.6,18.4,2948.82,7.6
0432ead42b6c8a0bdf68154add917fdf,SP,80,7573.5,4.58,2,-13.2,8.5,1187.78,2.5
044668ccd5316b12a7cf0d54a156e3e9,SP,3,137.8,5.0,0,-30.7,7.7,53.55,0.0
04843805947f0fc584fc1969b6e50fe7,RS,1,1400.0,5.0,0,0.0,15.0,74.76,0.0
048c2757535328e0d7dac690ad3c0aae,SP,50,9065.08,4.24,6,-10.0,18.0,1247.33,12.0
04aa0a1c5ce6b222003403a3e11c3cc0,SP,11,5518.0,4.09,2,-11.6,16.9,821.51,18.2
04aba03279157f6d4e0fe8ccaf21963c,RJ,15,2416.0,4.53,1,-13.9,11.2,319.23,6.7
04e38a233f726ef161074ab1c9b0399a,SP,19,991.6,4.11,1,-5.6,11.5,355.67,5.3
04ee0ec01589969663ba5967c0e0bdc0,RS,1,289.49,5.0,0,-13.0,3.0,24.83,0.0
04fdea0c111866e6cf812f1570d6b5bd,SP,8,865.0,3.5,1,-10.2,17.5,173.35,12.5
0509040ea3fe50071181bbc359eb7738,MG,87,3689.35,4.48,4,-10.7,11.2,1409.8999999999999,4.6
052577151711aec5c744fe12e66db3e1,SC,1,687.0,5.0,0,-12.0,14.0,42.65,0.0
054694fa03fe82cec4b7551487331d74,SP,19,7799.1,3.42,5,-9.5,22.1,611.34,26.3
056b4ada5bbc2c50cc7842547dda6b51,RJ,64,12203.4,4.21,7,-12.5,12.4,1282.39,10.9
0570350b23eda5444f8d1d9544932058,SP,6,626.9,5.0,0,-14.7,4.3,124.86,0.0
05730013efda596306417c3b09302475,SC,4,952.0,5.0,0,-11.5,9.0,216.67000000000002,0.0
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,11,1236.0,3.82,1,-11.1,9.7,747.82,9.1
058fd0aa2bfdb2274e05e1ae971dabb6,SP,59,7420.4,4.44,4,-11.7,9.8,867.13,6.8
05a48cc8859962767935ab9087417fbb,SP,1,42.9,5.0,0,-18.0,11.0,16.49,0.0
05a940b4ecae36cadfd8e93bd9c43257,GO,9,695.1,4.22,0,-14.9,13.8,169.0,0.0
05aebce0b5c8f0d41b29b686f2d05fd3,SP,2,74.99,5.0,0,-2.5,5.5,45.89,0.0
05ca864204d09595ae591b93ea9cf93d,SP,1,179.9,5.0,0,0.0,5.0,8.52,0.0
05d2173d43ea568aa0540eba70d2ca76,MG,62,5759.66,4.18,3,-11.6,14.6,1679.27,4.8
05e107217c7266362fd44b75b2cd4cc4,SP,5,193.38,4.2,1,-5.8,7.8,82.00999999999999,20.0
05f51e13da97139648b8125c31e5f51b,MG,57,13100.31,4.23,9,-9.8,12.1,1888.65,15.8
05feb94f19d094d4b0f9281f0b1d4c99,SP,6,9353.0,4.5,0,-13.3,14.8,697.04,0.0
05ff92fedb5be47920fea08e501238b9,RS,57,21235.98,4.32,2,-17.7,11.9,1747.89,3.5
062c325cd6a2b87845fab56b4ec2eeae,SP,2,133.22,5.0,0,-9.5,5.0,23.86,0.0
062ce95fa2ad4dfaedfc79260130565f,RS,54,7718.0,4.09,2,-13.2,12.9,1241.97,3.7
06532f10282704ef4c69168b914b77be,PR,7,9827.95,4.71,0,-12.7,16.1,632.8,0.0
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,60,4518.5,4.17,4,-10.0,9.6,1408.13,6.7
066a6914e1ebf3ea95a216c73a986b91,PR,64,8870.49,4.14,2,-16.9,13.1,1649.49,3.1
0691148aee60ca47977c187804f935ae,PR,47,6178.21,4.18,1,-13.8,11.5,1663.1399999999999,2.1
0692610d8abe24f287e9fae90ea0bbee,SP,4,173.99,4.0,1,-6.2,6.2,31.73,25.0
06a2c3af7b3aee5d69171b0e14f0ee87,MA,388,36030.99,4.02,74,-11.3,17.3,12042.63,19.1
06bb3a2fe5e7b7a845b13e8fb91bd944,MG,17,1536.19,4.59,0,-13.8,8.2,326.14,0.0
06df0c10d34e459d9672bc77388742eb,PR,26,9070.0,4.35,1,-13.5,9.6,525.77,3.8
06e5eefc71ec47ae763c5c6f8db7064f,RS,90,21908.56,3.98,0,-16.7,10.5,2182.97,0.0
07017df32dc5f2f1d2801e579548d620,PB,8,946.49,4.0,0,-24.5,9.6,181.75,0.0
070d165398b553f3b4b851c216b8a358,SP,30,3312.08,3.37,4,-8.0,11.7,949.89,13.3
0725b8c0f3f906e58f70cbe76b7c748c,SP,16,2330.32,3.66,4,-10.8,12.4,728.69,25.0
0743a0239d764b9a0f959a57d07e36ab,SP,4,336.96,4.75,0,-7.0,4.8,66.26,0.0
0747d5bb69f0586cc869d8af4c50f93e,RJ,12,322.8,3.75,1,-15.6,13.7,181.44,8.3
0761743cbffb25d7148189e9f1a5f03a,SP,3,241.2,4.67,0,-9.7,12.3,86.2,0.0
077c5fae4bea9500e3737b16f71b9d3a,SP,4,106.8,4.5,0,-7.8,7.8,70.44,0.0
0791d9fc1e30678ecf03d3e55fa108d3,MG,5,842.0,4.0,0,-16.4,7.4,186.99,0.0
079d295dcbf06ee8bb1b65ba964eb2b6,SP,5,349.3,4.6,0,-11.2,7.6,190.79,0.0
07a9bc7f61396b658ddf3ac534efe44c,SP,1,119.9,3.5,0,-5.0,5.0,15.59,0.0
07bf9669d84d1f11be443a9dd938f698,SP,18,1776.0,3.72,0,-18.2,7.9,646.22,0.0
07d75e33f2750d97d467fb57e4dfdd8a,SP,2,722.4,2.5,0,-11.5,11.5,37.19,0.0
07de60b03d150fb3ea09eab5da5e4c8b,SP,8,629.2,4.75,1,-12.5,13.6,155.16,12.5
07e8e8fc5222bb358e6f259da3197074,SP,2,51.8,4.0,0,-6.5,8.0,23.06,0.0
